SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q01190000,Q01190000_A,Q01190001,Q01190001_A,Q01190002,Q01190002_A,Q01190005,Q01230101,Q01230102,Q0124
5,1,52,1,2,5,10,10,1,2019,1, ,2000,1, , , , , , , , , , , 
1,1,53,8,2,6,11,11,1,2017,3, ,2200,1,9, , , , , , , , , , 
2,1,49,1,2,5,10,5,1,2017,2, ,2000,1, , , , , , , , , , , 
3,1,56,8,2,6,7,7,1,2022,5, , , , , , , , , , , ,1,4, 
1,1,41,16,2,4,10,6,1,2018,1, ,2400,1, , , , , , , , , , , 
98,1,44,9,1,6,99,3,1,2023,1, ,1000, ,5, , , , , , , ,3, ,1
5,1,49,8,2,5,10,10,1,2022,4,2,2000,3, ,12.5, ,11.4, ,16.7, ,5,3,4,2
4,1,64,10,2,7,7,4,1,2013,2, ,2000, , , , , , , , , , , , 
4,1,53,6,2,6,7,7,1,2013,1, ,2000, , , , , , , , , , , , 
3,1,63,1,2,7,4,4,1,2018,3, ,1500,1, , , , , , , , , , , 
3,1,47,8,2,5,6,6,1,2014,3, ,2000,2, , , , , , , , , , , 
4,1,45,2,2,4,10,4,1,2021,1, ,2500,3, ,10.7, ,9, ,11.7, ,7,1, ,1
98,1,64,15,2,6,5,5,1,2013,3, ,1700, , , , , , , , , , , , 
4,1,54,1,2,6,10,5,1,2016,3, ,2200,1,7, , , , , , , , , , 
5,2,56,12,2,6,6,6,1,2024,1, ,1500,1, ,13.4, ,10, ,14, ,7,4,5,1
5,1,45,8,2,5,5,5,1,2018,1, ,3300,1,9, , , , , , , , , , 
2,1,48,8,2,5,4,4,1,2020,6, , ,1, , , , , , , , , , , 
4,1,45,1,2,5,6,6,1,2021,1, ,2500,1, ,12, ,18, ,18, ,9,1,3, 
4,1,60,8,2,6,9,5,1,2013,1, ,2400,1, , , , , , , , , , , 
5,2,29,1,1,6,10,4,1,2016,3, ,2200,1,5, , , , , , , , , , 
98,2,45,8,2,5,6,2,1,2023,1, ,2500,1,6,9.3, ,4.7, ,13.3, ,5,1, ,1
5,1,68,1,97,6,11,5,1,2022,1, ,1600,1, , ,98,7.5, ,8, ,1,1, , 
98,1,44,4,2,4,6,6,1,2023,5, , , , , , , , , , , ,4,3, 
1,1,42,1,2,2,9,5,1,2018,1, ,2000,1,5, , , , , , , , , , 
98,1,52,1,2,5,6,3,1,2023,3, ,3500,1,9,13, ,13, ,17, ,6,1,3,1
98,1,65,4,2,7,6,5,1,2017,1, ,2400,1, , , , , , , , , , , 
98,1,54,17,2,5,99,8,1,2020,4,1,2000, , , , , , , , , , , , 
3,1,60,2,2,6,10,3,1,2016,3, ,1700, , , , , , , , , , , , 
3,2,34,11,2,4,6,2,1,2019,1, ,2200,1,5, , , , , , , , , , 
1,1,63,7,2,6,5,5,1,2013,3, ,2000,1,7, , , , , , , , , , 
98,1,24,1,1,6,10,1,1,2013,1, ,2000, , , , , , , , , , , , 
2,1,69,8,2,7,12,8,1,2019,1, ,3000,3, , , , , , , , , , , 
98,1,44,10,2,5,6,3,1,2024,4,1,1600,1,6,15.7, ,15.2, ,17.1, ,7,1,4, 
98,1,56,14,2,3,3,3,1,2017,2, ,2000,1,7, , , , , , , , , , 
4,1,63,14,2,6,7,4,1,2021,1, ,2500,1, , , , , , , , ,1, ,2
2,1,46,3,2,5,10,5,1,2020,1, ,3500,3, , , , , , , , , , , 
2,1,45,3,2,5,10,4,1,2015,1, ,3800,3, , , , , , , , , , , 
98,1,59,2,2,6,5,3,1,2022,1, ,1300, , ,10.5, ,7.4, ,15.8, ,8,1,4,1
98,1,61,4,2,6,5,3,1,2023,1, ,2000,1, ,9, ,9.5, ,10, ,4,4,1,2
1,1,65,1,2,6,11,5,1,2014,1, ,2400,1, , , , , , , , , , , 
2,1,49,2,2,3,5,4,1,2016,3, ,1700,1,5, , , , , , , , , , 
98,1,65,2,2,6,7,2,1,2019,4,1,2400,1, , , , , , , , , , , 
3,1,55,8,2,6,12,5,1,2018,1, ,1600, , , , , , , , , , , , 
3,1,65,8,2,6,11,9,1,2013,1, ,3000,1, , , , , , , , , , , 
2,1,61,1,2,6,10,5,1,2013,1, ,2000, , , , , , , , , , , , 
4,1,58,2,2,6,5,3,1,2021,1, ,1500,1, ,10.5, ,9.5, ,13.8, ,7,1,3,1
98,1,41,1,2,4,8,5,1,2018,3, ,2200,1,9, , , , , , , , , , 
4,1,56,1,2,6,6,6,1,2019,4,1,2000, , , , , , , , , , , , 
5,2,40,11, , , , ,1,2021,1, ,1600, , ,15.4, ,12.1, ,20.5, ,7,3, ,1
98,1,49,8,1,1,2,2,1,2023,5, , , , , , , , , , , ,3,1, 
2,1,55,15,2,5,6,4,1,2016,1, ,2400,1, , , , , , , , , , , 
98,2,57,8,2,6,6,3,1,2022,6, , ,1, , , , , , , , ,1,5,1
98,1,54,3,2,6,10,5,1,2024,1, ,1000, ,5, ,98,13, ,17, ,7,1, ,2
98,1,61,1,2,6,5,5,1,2018,1, ,1600, , , , , , , , , , , , 
98,1,69,3,2,7,5,5,1,2024,1, ,1600,1, ,14.4, ,14.2, ,16.5, ,2,1, , 
3,1,50,5,2,5,5,3,1,2013,2, ,2000,1,7, , , , , , , , , , 
98,1,66,15,2,7,4,3,1,2016,1, ,3300,1, , , , , , , , , , , 
2,1,54,15,2,5,8,8,1,2020,1, ,3000,1, , , , , , , , , , , 
5,1,63,3,2,6,99,10,1,2016,1, ,3300,1, , , , , , , , , , , 
5,1,41,15,2,5,10,5,1,2021,1, ,3800,1,7,8.5, ,8, ,12, ,4,1,4,1
2,1,40,4,2,5,9,6,1,2017,3, ,1700,1, , , , , , , , , , , 
3,1,60,8,2,6,10,6,1,2015,1, ,1000, ,5, , , , , , , , , , 
98,2,31,12,1,1,3,3,1,2019,1, ,1600,1, , , , , , , , , , , 
2,1,58,7,2,6,7,7,1,2013,1, ,3500,1, , , , , , , , , , , 
98,1,43,8,2,5,4,4,1,2016,1, ,1600,1, , , , , , , , , , , 
3,1,57,1,2,2,8,8,1,2019,1, ,2200,1,5, , , , , , , , , , 
5,1,67,1,2,7,8,4,1,2020,5, , , , , , , , , , , , , , 
4,1,44,1,1,7,3,3,1,2019,4,1,2500,1, , , , , , , , , , , 
3,1,53,8,2,5,10,10,1,2013,1, ,2400,1, , , , , , , , , , , 
5,1,45,15,2,5,8,8,1,2022,1, ,3600,3, ,8.3, ,7.6, ,10.2, ,6,4, ,2
3,1,52,2,2,5,4,4,1,2023,1, ,1000, ,5,12.7, ,9.5, ,10.4, ,9,1,4, 
98,1,47,4,2,5,3,2,1,2017,1, ,1000, ,5, , , , , , , , , , 
5,1,55,8,2,6,5,5,1,2023,2, ,1600, , ,12.2, ,10, ,14.3, ,8,1,3, 
1,1,50,8,2,5,12,11,1,2019,1, ,2400,1, , , , , , , , , , , 
5,1,43,11,2,5,6,5,1,2019,3, ,2200,1,7, , , , , , , , , , 
2,1,52,8,2,4,10,10,1,2020,5, , , , , , , , , , , , , , 
98,1,59,8,2,6,99,99,1,2021,1, ,2200,1, , , , , , , , ,1,3,1
2,1,51,4,2,6,5,3,1,2018,1, ,1700, , , , , , , , , , , , 
2,1,58,6,2,6,11,6,1,2022,1, ,2500,3, ,10.8, ,10.7, ,15.9, ,7,1,3, 
4,1,53,2,2,5,7,7,1,2018,1, ,2500,1, , , , , , , , , , , 
4,2,43,8,2,5,9,98,1,2015,3, ,1600,1,7, , , , , , , , , , 
98,1,53,3,97,1,5,5,1,2020,3, ,2200,2,5, , , , , , , , , , 
98,1,55,6,2,5,8,7,1,2021,1, ,1500,1, ,12, ,11.7, ,18, ,7,1, , 
2,1,62,1,2,5,11,10,1,2013,1, ,3800,1, , , , , , , , , , , 
4,1,62,8,2,6,5,2,1,2021,1, ,2000,1, ,16.8, ,16.2, ,17.2, ,5,1,4,2
5,1,54,1,1,1,4,4,1,2022,1, ,1300,1, ,12.6, ,8.1, ,12, ,7,1,3, 
3,1,46,1,2,3,7,6,1,2021,2, ,3500,1, , , , , , , , ,1,3,1
98,2,38,7,2,4,6,3,1,2018,3, ,1700,1, , , , , , , , , , , 
4,2,41,14,1,1,5,5,1,2017,1, ,1600,1, , , , , , , , , , , 
98,1,54,1,97,6,4,4,1,2024,4,1,1600,1, ,16, ,14.9, ,21.1, ,9,1, , 
3,2,63,8,2,6,9,2,1,2017,1, ,2000, , , , , , , , , , , , 
1,1,56,8,2,6,5,5,1,2013,2, ,2000,1,7, , , , , , , , , , 
1,1,36,1,2,5,7,4,1,2015,1, ,1600, , , , , , , , , , , , 
