SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q03,Q0301,Q0302,Q030301,Q030302,Q0307,Q030801,MQ030902,Q030902
98,1,34,1,2,4,5,3,1,2024,4,1,1600,1,5,2,4,8,11,3,2,7,5040, 
1,1,48,8,2,5,10,8,1,2024,1, ,2000,3, ,2,4,8,7,1, , , , 
4,1,40,2,2,4,4,4,1,2023,4,1,2500,1, ,2,4,5,22,1,6,7,4400, 
98,1,41,2,1,7,7,7,1,2023,1, ,2500,3,7,1,12,8,6,1,8,6,4450, 
98,2,44,1,2,5,5,2,1,2023,1, ,1000,1, ,2,11,20,17,1,12,4,1500, 
98,1,44,8,2,4,7,7,1,2024,1, ,3600,3, ,1,99,5,9,1,8,7,5500, 
5,1,48,16,1,1,3,3,1,2021,3, ,2000,1, ,1,8,8,17,1,1,12,3805, 
2,1,35,8,2,4,8,8,1,2023,1, ,2000,3, ,1,3,8,23,1,8,7,7072, 
98,2,41,8,2,4,11,5,1,2023,1, ,2300,3, ,2,9,2,2,1,99,99,7000, 
98,1,43,2,2,5,13,6,1,2023,1, ,3500,1,9,1,2,19,18,1,99,5,4500, 
3,1,54,2,2,6,6,6,1,2022,3, ,2000,3, ,2,1,25,22,3,1,7,6420, 
98,1,60,4,97,1,4,4,1,2024,1, ,2000,3, ,1,99,4,97,1,8,7,10004, 
98,1,72,12,2,7,2,2,1,2023,1, ,1000, ,5,2,12,19,22,1,9,7,1920, 
5,1,69,14,2,7,11,10,1,2023,4,1,2500,3, ,1,99,19,29,1, , ,9870, 
3,1,39,8,2,3,7,4,1,2023,1, ,2000,1, ,3,4,20,13,1,7,13,5300, 
1,1,52,6,2,6,7,7,1,2024,4,1,1600,1,5,2,10,3,25,1,99,7,4500, 
2,2,65,6,2,6,8,98,1,2023,1, ,2500,1, ,3,7,21,19,1,8,8,5000, 
3,1,46,3,2,5,6,6,1,2023,1, ,1000, ,5,2,2,1,30,1,99,5,1940, 
98,1,67,11,2,6,11,4,1,2023,1, ,2500,1, ,1,12,19,25,1,1,5,5100, 
5,1,54,15,2,5,11,11,1,2022,3, ,2000,3, ,2,7,22,7,1,8,5,7100, 
4,1,63,1,2,6,6,2,1,2023,2, ,2000,1,5,1,7,13,21,1,99,2,3510, 
4,1,64,12,2,7,6,3,1,2023,4,1,2500,1, ,1,8,1,20,1,1,7,4455, 
98,1,40,8,2,5,6,6,1,2023,4,2,4300,2, ,1,4,9,13,1,1,14,22330, 
4,1,43,15,2,5,10,5,1,2024,1, ,1300,1, ,2,10,1,26,2,2,2,2800, 
98,1,37,6,1,6,8,8,1,2024,5, , , , ,1,11,9,8,2, , ,5400, 
98,1,57,10,2,6,9,5,1,2024,4,1,1600,1,9,3,11,7,30,1,8,6,5300, 
4,1,55,8,1,1,4,4,1,2022,1, ,2000,1, ,2,4,27,22,1,1,10,6630, 
98,2,63,8,2,6,8,1,1,2024,1, ,3500,1, ,3,11,21,17,1,12,3,4700, 
98,1,42,8,2,5,6,4,1,2023,4,1,1600,1, ,2,4,1,20,1, , ,4000, 
98,1,45,1,2,3,13,7,1,2023,4,1,2500,1, ,1,10,9,22,2,1,8, ,99
4,1,40,8,2,5,11,7,1,2021,1, ,2000,1, ,2,9,22,25,3,1,7,6800, 
4,1,49,1,2,5,6,6,1,2022,3, ,2000,1, ,2,7,8,22,1,6,1,6000, 
98,1,41,9,2,4,6,6,1,2024,5, , , ,6,2,10,19,30,1,1,7,7337, 
98,1,47,11,2,5,9,7,1,2024,1, ,2000, , ,1,4,1,2,1, , , , 
98,2,56,15,2,6,12,4,1,2024,2, ,3500,1, ,2,10,1,20,1, , , , 
2,1,44,8,2,5,9,5,1,2022,4,1,2500,1, ,1,12,27,29,1,2,9,6300, 
98,1,48,12,2,5,7,6,1,2024,4,1,1600,1,5,2,7,9,21,1,8,7,4930, 
5,1,43,14,2,4,7,4,1,2022,1, ,2000,1, ,2,7,27,13,1,9,7,5960, 
2,1,59,1,2,6,7,7,1,2023,4,1,1600,1, ,1,11,27,26,1,2,8,5800, 
3,1,51,11,2,5,7,6,1,2024,5, , , , ,1,11,3,20,1,8,6,5200, 
98,1,42,1,2,5,8,4,1,2022,1, ,2000,1, ,2,4,27,25,1,1,13,6630, 
98,1,55,8,2,6,11,6,1,2024,1, ,2000,1, ,2,10,21,22,1,8,6,3300, 
98,1,44,15,2,4,5,3,1,2024,4,1,1600,1,7,2,9,27,9,1,8,7,5480, 
98,1,41,8,2,2,10,6,1,2023,5, , , , ,2,4,7,20,2, , ,7200, 
4,1,65,8,2,7,5,5,1,2023,4,1,2500,1, ,2,7,21,20,1,2,9,4300, 
98,1,42,1,2,4,8,3,1,2024,1, ,3800,3,7,2,4,20,9,3,8,99,5557, 
98,1,49,8,2,5,7,4,1,2023,4,1,1600,1,6,2,7,3,18,3,99,7,4800, 
4,1,46,9,2,5,5,3,1,2023,3, ,2200,1,6,1,13,22,13,1,8,5,4000, 
5,1,59,8,2,6,11,8,1,2023,1, ,3500,1,9,1,4,5,30,2,2,5,4500, 
98,1,66,7,2,7,5,4,1,2023,1, ,1600,1, ,3,4,22,12,1,99,6,3000, 
5,1,44,10,1,1,5,5,1,2022,5, , , , ,1,7,8,20,1,1,11,8110, 
3,1,58,8,2,6,9,7,1,2023,3, ,2000,1, ,2,8,8,2,1,8,6,5300, 
3,2,48,5,2,5,8,3,1,2023,4,1,1600,1, ,2,5,7,17,1,9,7, ,99
5,1,38,11,2,4,4,3,1,2024,4,1,1600,1,7,2,7,21,9,1,8,5,5500, 
1,1,48,8,2,5,4,2,1,2021,1, ,3600,3, ,2,8,9,6,1, , , , 
5,1,51,12,2,5,4,3,1,2021,5, , , , ,1,13,7,8,3,12,2, , 
5,1,48,14,2,6,6,6,1,2023,1, ,3800,1,7,2,10,8,28,1,1,11, ,99
98,1,34,4,2,2,6,4,1,2024,1, ,1300,1, ,1,11,8,3,1,2,99,2800, 
98,1,45,2,2,5,11,5,1,2023,4,1,2500,1, ,1,12,22,20,1,10,6,4900, 
98,1,42,11,2,5,9,5,1,2023,4,1,1600,1,6,1,10,7,9,3,99,99, ,99
5,1,43,10,2,5,5,5,1,2023,1, ,1000,1, ,3,6,6,17,2,1,8,1385, 
2,1,56,7,2,6,11,10,1,2024,1, ,2000,1, ,1,3,20,26,1,1,14,6630, 
98,2,31,8,1,1,2,2,1,2024,1, ,1000, ,5,2,99,97,97,1,99,5,2000, 
1,1,35,1,2,4,9,4,1,2023,5, , , , ,1,6,3,21,2, , ,5299, 
98,1,42,1,2,5,6,5,1,2023,1, ,2000,1, ,2,6,21,2,1,1,11,7000, 
98,1,49,1,2,2,9,7,1,2024,4,1,1600,1,5,1,7,5,9,1,9,7,4600, 
3,2,59,1,2,6,10,5,1,2024,1, ,2000,3, ,2,10,5,1,1,2,9,10000, 
4,1,66,1,2,7,10,10,1,2021,4,1,3000,1, ,2,7,20,20,1,6,99,6800, 
5,1,46,12,2,3,4,4,1,2024,5, , , , ,2,7,9,29,2,2,3,5100, 
5,1,44,8,2,5,11,10,1,2022,1, ,2000,3, ,1,1,27,6,1,1,14,6900, 
98,1,63,9,2,6,99,99,1,2024,1, ,3000,3, ,2,4,5,10,1,1,14,8370, 
4,1,57,3,2,6,4,4,1,2023,4,1,1600,1,6,1,10,27,20,1,9,99,4400, 
4,1,49,1,2,5,13,13,1,2022,1, ,3000,2, ,2,2,8,9,1,1,7,15000, 
1,1,37,5,1,1,3,3,1,2022,1, ,2000,3, ,1,6,8,13,1,8,7,7277, 
98,2,33,8,1,1,3,3,1,2024,1, ,1600,1, ,1,6,3,13,1,99,2,3100, 
3,1,54,8,2,6,9,9,1,2024,4,1,1600,1, ,3,4,7,11,2,99,2,4500, 
4,1,57,2,2,7,9,9,1,2022,1, ,2000,3, ,1,3,1,7,1,99,5,7390, 
3,1,55,3,2,6,6,4,1,2023,4,1,1600,1, ,1,5,7,23,1, , ,5600, 
98,1,44,8,2,5,6,4,1,2024,3, ,2200,1,7,1,10,19,30,1,8,7,4560, 
