SQ03,SQ04,SQ0502,SQ06,DQ02,DQ04,DQ08,DQ0801,Q010101,Q01010201,Q0119,Q01190100,Q0117,Q0120,Q012001,Q03,Q0301,Q0302,Q030301,Q030302,Q0307,Q030801,MQ030902,Q030902
98,1,43,12,2,5,8,5,1,2024,1, ,3000,3, ,1,13,2,14,1,1,13,8500, 
98,1,33,2,1,6,11,4,1,2024,5, , , , ,1,13,27,13,3, , , , 
98,1,39,1,2,4,6,4,1,2023,1, ,1300,1, ,2,3,19,7,1,8,5,2800, 
98,1,40,1, , , , ,1,2021,4,2,2000,1, ,2,7,3,20,1,1,14,7000, 
98,1,39,1,2,4,6,5,1,2022,4,1,2000,3, ,1,99,7,28,1, , ,4850, 
98,1,36,11,2,4,9,7,1,2022,5, , , , ,2,9,20,28,2,99,2,5500, 
4,2,42,1,2,5,8,98,1,2023,1, ,3000,1, ,4, , , , , , , , 
3,1,52,8,2,5,4,4,1,2024,5, , , , ,1,13,27,21,1,4,4, ,99
98,2,66,8,97,1,99,99,1,2024,1, ,1300,1, ,2,9,22,13,1,99,99, ,99
98,1,56,8,2,6,99,99,1,2023,5, , , , ,1,13,4,29,1,1,13,4800, 
98,1,45,8,2,5,5,5,1,2023,4,1,2500,1, ,3,99,27,20,1,9,5,4500, 
98,1,60,15, , , , ,1,2024,1, ,2000,1, ,1,9,7,7,1,8,3,7000, 
98,1,38,8,2,4,8,3,1,2023,4,2,2000,1, ,3,7,21,21,1,1,14,8000, 
98,1,74,4,2,7,3,3,1,2022,4,1,2500,3, ,2,7,16,21,1,8,2,6000, 
98,1,59,5,2,6,7,5,1,2022,1, ,2000,3, ,2,12,19,28,1,6,99,5000, 
1,1,64,1,2,6,10,5,1,2023,1, ,2000,1, ,2,3,22,7,1,99,3,6700, 
98,1,42,8,2,4,4,4,1,2022,1, ,2000,1, ,2,3,3,13,1,8,7,4900, 
98,1,43,15,97,5,6,4,1,2024,1, ,1300,1, ,1,99,19,13,1,8,99,2800, 
98,1,40,8,1,6,7,3,1,2023,1, ,1300,1, ,1,11,27,15,1,99,1,2800, 
98,1,65,2,2,6,7,7,1,2022,4,2,2000,3, ,2,8,21,7,1,13,7,9800, 
5,2,28,8,1,6,9,3,1,2023,1, ,1500,1, ,1,9,3,13,1,1,11,3400, 
98,1,43,2,1,1,5,5,1,2022,3, ,2000,3, ,1,99,27,20,1, , ,10000, 
98,1,57,2,2,7,8,6,1,2023,4,1,3000,1, ,1,3,19,29,1,99,99,7000, 
2,1,52,1,2,3,11,10,1,2024,1, ,2500,1,6,1,7,3,9,1,2,7,4100, 
4,2,42,8,97,5,5,5,1,2023,1, ,1500,3, ,3,11,27,2,1,99,6,5410, 
98,1,42,8,2,5,10,10,1,2022,1, ,2000,1, ,2,4,5,2,1,99,99,7800, 
5,1,34,1,2,4,8,6,1,2023,5, , , , ,1,3,20,2,2,2,9,5490, 
5,1,56,8,2,6,6,6,1,2022,1, ,2000,1, ,2,7,22,20,3,1,12,6630, 
5,1,49,15,2,6,6,5,1,2022,1, ,2000,1, ,1,9,3,16,1,99,4,7000, 
2,1,64,8,2,7,13,6,1,2021,4,1,3500,3, ,2,7,9,22,1,4,5,17000, 
98,1,61,1,2,7,7,6,1,2023,1, ,2500,3, ,1,99,9,24,1,1,7,6700, 
98,1,42,5,1,1,3,3,1,2022,5, , , , ,1,7,3,20,2, , ,5999, 
98,1,24,8,1,1,2,2,1,2023,4,1,1600,1, ,1,4,7,15,1,99,6,3700, 
98,2,41,8,1,7,8,4,1,2022,1, ,2000,3, ,2,4,21,13,1,8,99, ,99
5,2,51,3, , , , ,1,2022,1, ,3000,1, ,1,3,2,2,2,13,7,7000, 
98,1,58,1,2,6,4,4,1,2023,1, ,2000,1, ,2,10,5,2,1,8,3,8000, 
5,1,60,8,2,6,13,13,1,2024,4,2,2000,3, ,1,7,7,21,1,99,5,9500, 
98,1,46,3,2,5,13,8,1,2021,1, ,3000,3, ,2,6,8,30,1,1,7,6720, 
98,1,42,1,2,5,10,5,1,2024,5, , , , ,3,9,8,26,2, , ,5300, 
98,1,52,1,2,6,5,4,1,2022,3, ,2000,3, ,2,7,27,28,1,1,9,7348, 
5,1,38,8,2,3,8,4,1,2021,1, ,3000,3, ,1,98,20,13,1,1,13,10000, 
5,1,42,13,2,5,6,4,1,2023,1, ,2000,1, ,1,6,2,2,1,1,9,7000, 
5,1,63,8,97,6,7,2,1,2021,1, ,2300,3, ,1,4,27,7,1,1,8,5800, 
98,1,42,8,2,4,6,6,1,2023,1, ,2000,3, ,1,8,20,13,1,1,5,6920, 
5,1,44,8,2,5,6,3,1,2024,1, ,1500,1, ,2,6,28,7,1,8,6,3500, 
98,1,38,4,2,5,10,5,1,2022,5, , , , ,1,9,7,7,1,11,99,8260, 
2,1,55,3,2,6,7,6,1,2023,1, ,2000,1, ,2,7,19,22,1,8,5,6950, 
98,1,55,1,2,5,9,9,1,2023,1, ,2000,1, ,2,4,22,25,1,1,13,8500, 
2,1,61,4,97,1,3,3,1,2024,1, ,1300,1, ,1,9,15,17,1,8,2,2052, 
98,2,32,1,1,6,7,2,1,2021,1, ,2000,1, ,2,13,22,17,3, , , ,99
98,1,55,1,1,1,3,3,1,2023,1, ,2000,3, ,1,7,15,22,1,2,99,5590, 
98,1,52,12,2,6,7,4,1,2023,5, , , , ,1,7,8,29,3,8,3,4793, 
98,1,38,1,1,1,4,4,1,2022,1, ,1500,1, ,2,6,22,17,1,1,13,2950, 
98,1,33,1,2,2,7,3,1,2023,5, , , , ,1,12,8,8,2,99,99,5299, 
98,1,40,11,97,1,13,13,1,2023,1, ,1300,1, ,3,98,17,9,1,8,2,2800, 
98,2,43,8,97,5,11,6,1,2023,1, ,2000,3, ,1,4,3,13,1,1,14,7100, 
5,1,58,6,2,6,11,11,1,2022,3, ,3300,3, ,1,3,5,28,1,1,14,14000, 
98,2,37,15, , , , ,1,2022,1, ,2000,1, ,1,3,21,13,1,1,8,4000, 
4,1,42,1,2,3,4,2,1,2022,5, , , , ,1,3,7,2,3,2,13,5199, 
98,1,58,8,2,6,11,10,1,2023,1, ,2200,1,7,2,7,22,21,2,8,99,5250, 
98,1,68,8,2,7,7,7,1,2021,1, ,2000,1, ,1,12,5,7,1,8,6,5460, 
2,2,38,8,2,2,8,4,1,2024,1, ,2400,3, ,3,3,22,2,1,8,6,7000, 
5,1,57,8,2,6,5,4,1,2022,1, ,3000,3, ,2,9,15,6,1,99,7,11400, 
98,1,32,8,2,3,5,3,1,2023,1, ,3600,2, ,1,4,18,17,1,1,11, ,99
98,1,43,4,2,3,5,5,1,2024,5, , , , ,2,3,3,2,2, , ,5199, 
98,2,42,3, , , , ,1,2022,4,2,2000,1, ,2,4,27,6,1,1,13,8000, 
98,1,70,8,2,7,4,4,1,2021,1, ,2000,1, ,2,12,20,20,1,13,99,3540, 
98,1,43,8, , , , ,1,2022,1, ,2000,1, ,1,6,7,17,3,1,13,4100, 
98,2,38,1,1,1,5,5,1,2021,1, ,1400,1, ,1,8,4,24,1, , ,2950, 
5,1,70,1,2,7,7,2,1,2022,1, ,2000,3, ,1,10,8,1,1,8,5,6420, 
5,1,44,8,2,5,12,12,1,2024,1, ,2000,1, ,1,9,7,30,1,1,12,4870, 
98,2,40,8,1,1,7,7,1,2022,1, ,2000,1, ,1,99,1,13,1,11,3,4500, 
98,1,56,8,2,6,9,6,1,2023,1, ,2000,3, ,2,4,18,13,1,1,10,7200, 
98,1,51,8,2,6,6,5,1,2023,5, , , , ,2,7,8,8,1,3,10,6950, 
98,2,42,1,2,5,10,5,1,2023,1, ,2000,3, ,2,3,2,10,1,1,14,8000, 
98,1,53,6,2,6,11,11,1,2022,5, , , , ,2,7,10,17,1,99,2,5690, 
5,1,43,8,2,5,11,5,1,2023,5, , , , ,1,13,8,2,1,1,14,8260, 
98,1,60,9, , , , ,1,2023,3, ,2800,3, ,3,3,20,7,1,1,9,8000, 
2,1,63,10,2,6,5,4,1,2021,1, ,2500,1, ,2,7,21,22,1,9,10,7500, 
98,1,61,1,2,7,99,5,1,2023,1, ,3600,3, ,1,99,20,16,1,13,14,10300, 
3,1,51,3,2,2,7,6,1,2022,1, ,2000,1, ,2,4,21,10,1,13,99,6400, 
98,1,43,1, , , , ,1,2023,3, ,2200,3, ,1,3,7,16,1,1,7,8030, 
5,1,58,11,97,6,10,5,1,2022,3, ,2000,1, ,3,9,20,13,1,1,7,5217, 
5,1,51,16, , , , ,1,2023,5, , , , ,2,2,4,2,2, , , ,99
98,1,47,4,2,5,5,5,1,2023,1, ,1300,1, ,2,6,21,18,1,1,9,2610, 
98,1,58,2, , , , ,1,2023,1, ,2000,1, ,2,11,9,2,1,1,11,6800, 
98,1,52,8,2,5,6,6,1,2023,1, ,2000,3, ,2,3,27,1,1,2,8,6950, 
1,1,47,13,2,5,10,10,1,2022,5, , , , ,2,2,5,26,2, , ,5199, 
98,1,39,6,1,1,5,5,1,2022,5, , , , ,1,3,1,7,2,9,7,5690, 
1,1,46,8,2,5,10,9,1,2022,1, ,3000,3, ,2,12,8,13,1,8,8,11000, 
98,2,44,3,1,1,3,3,1,2022,5, , , , ,1,9,18,7,1,8,12,6865, 
98,2,55,8,97,6,2,2,1,2023,1, ,1500,1, ,2,4,13,25,1,8,5,3200, 
2,2,36,4,1,1,99,99,1,2024,1, ,1300,1, ,1,12,3,13,1, , ,3000, 
5,1,50,8,2,5,7,7,1,2024,1, ,2000,3, ,2,12,19,25,1,9,5,7400, 
4,1,46,8,2,5,10,6,1,2023,5, , , , ,3,3,3,25,1,1,99,8260, 
98,1,65,15, , , , ,1,2024,2, ,2000,1,5,1,12,14,29,1,9,6, ,99
98,1,50,8,2,6,5,5,1,2021,1, ,2000,1, ,2,3,21,10,1,1,14,7072, 
98,1,32,8,1,1,4,4,1,2023,5, , , , ,1,13,3,8,2, , ,5299, 
5,1,29,4,1,1,7,7,1,2022,1, ,2000,1, ,1,1,8,25,1,11,2,6000, 
5,1,51,4,2,3,5,3,1,2023,4,1,2500,3, ,1,12,22,10,1,2,8,6700, 
2,1,35,8, , , , ,1,2022,1, ,3000,3, ,1,4,21,11,1,99,11,12000, 
98,1,56,11,2,4,7,6,1,2021,1, ,3600,3, ,1,99,21,30,1,1,14,6190, 
3,1,54,1,2,6,5,3,1,2021,1, ,2000,1, ,1,6,21,17,1,1,14,7072, 
98,1,37,11,2,5,6,5,1,2023,3, ,2000,1, ,1,8,8,17,1,1,7,5217, 
2,1,64,12,2,6,6,4,1,2024,1, ,1500,3, ,1,12,9,1,1,4,7,3500, 
98,1,38,13,2,5,10,10,1,2024,1, ,3000,3, ,2,11,8,13,3,1,14,12110, 
98,1,47,2,2,5,9,8,1,2023,3, ,2000,3, ,2,6,21,2,1,1,4, ,99
5,2,31,8,2,4,7,4,1,2023,2, ,2000,1,5,2,6,19,11,1, , ,3500, 
98,1,42,8,2,3,11,10,1,2024,1, ,2000,3, ,1,4,8,14,1,1,14,9630, 
2,1,45,8,2,3,10,7,1,2023,1, ,2000,3, ,2,5,6,30,1,1,10, , 
5,1,33,8,2,4,5,5,1,2021,1, ,3000,3, ,1,4,7,16,1,1,10,9400, 
98,1,47,8,2,4,10,7,1,2022,1, ,2000,1, ,3,7,22,25,1,8,7,6630, 
2,2,43,8,2,5,11,4,1,2022,1, ,2000,1, ,2,3,3,14,1,13,7,3590, 
1,1,47,4,2,3,6,4,1,2024,4,1,1600,1, ,3,7,8,20,1,8,7,3500, 
4,1,47,1,2,5,10,5,1,2022,5, , , , ,1,6,21,29,1,6,8,6700, 
98,1,34,8,97,1,11,11,1,2022,5, , , , ,1,10,20,13,1,99,4,8110, 
98,1,38,1,2,4,9,5,1,2022,1, ,2000,3, ,2,8,20,24,1,8,7,6640, 
1,1,58,1,2,3,4,3,1,2023,1, ,2000,3, ,2,11,9,4,1,5,5,8000, 
3,2,43,3, , , , ,1,2022,1, ,2000,1, ,4, , , , , , , , 
98,1,56,10,2,6,4,2,1,2021,1, ,2500,1, ,1,12,18,1,1,1,7,4500, 
3,1,53,11,2,6,11,6,1,2022,5, , , , ,1,6,5,23,2,99,1,8110, 
98,1,52,8,2,6,11,9,1,2022,1, ,2000,3, ,2,3,27,22,1,9,8,7440, 
2,1,52,1,2,5,10,9,1,2022,5, , , , ,1,11,20,20,1, , ,8000, 
98,1,67,6,2,6,5,5,1,2023,4,1,2000,3, ,1,3,20,22,1,8,8,5690, 
5,1,31,1,1,6,11,2,1,2023,1, ,1300,1, ,1,12,17,27,1,9,2,2870, 
98,1,50,9,2,6,99,99,1,2022,1, ,3000,3, ,2,10,20,25,3,1,14, ,99
5,1,50,1,2,5,12,12,1,2024,5, , , , ,1,7,27,29,1,3,7,8260, 
5,1,51,8, , , , ,1,2022,4,1,2500,2, ,2,8,20,22,1,99,8,5200, 
98,1,40,9, , , , ,1,2023,1, ,2300,3, ,2,6,19,16,1,13,7,6400, 
98,1,41,1, , , , ,1,2023,1, ,2000,3, ,2,3,1,8,1,12,9,9300, 
98,2,34,9,1,1,2,2,1,2023,1, ,1500,1, ,2,2,21,28,1,99,1,2600, 
3,1,46,1,2,4,11,10,1,2021,1, ,2400,3, ,1,6,27,13,1,13,5,6420, 
98,1,50,1,1,6,7,5,1,2023,1, ,2000,3, ,3,3,9,2,1,1,14,8000, 
3,1,43,1,2,4,6,4,1,2023,1, ,3000,2, ,3,99,27,25,1,99,99, ,99
98,1,34,1,1,1,99,99,1,2023,1, ,2800,2, ,1,9,3,7,1,1,99,6700, 
5,2,57,8,2,7,8,5,1,2022,5, , , , ,2,4,17,7,1,2,5,11300, 
98,1,36,3,2,4,4,4,1,2024,5, , , , ,2,12,22,8,2,2,5,5499, 
5,1,51,14,2,6,6,6,1,2021,1, ,3000,3, ,2,4,22,30,1,1,11, ,99
5,2,55,2, , , , ,1,2024,1, ,1500,1, ,1,6,19,13,1,1,1,3300, 
98,1,42,1,2,3,13,12,1,2024,1, ,3000,2, ,2,3,26,10,2,1,13,14000, 
3,1,50,1,2,5,13,13,1,2022,3, ,3000,3, ,1,11,3,22,1,1,12,11200, 
98,2,51,12,97,1,4,4,1,2023,1, ,1300, , ,1,4,4,13,1,8,2,3100, 
4,1,33,8,2,2,7,3,1,2023,5, , , , ,1,12,26,13,2,99,3,6865, 
98,1,45,6, , , , ,1,2023,3, ,2000,3, ,3,99,97,21,1,13,99, ,99
98,2,52,1,2,6,11,10,1,2023,4,1,2000,3, ,1,4,20,26,2,99,99,8000, 
4,1,52,8,2,5,10,8,1,2023,1, ,3000,3, ,2,11,3,13,3,8,13,11500, 
5,1,59,3,2,7,13,13,1,2022,1, ,3000,3, ,1,2,21,7,1,1,9,17500, 
98,2,43,12,2,5,12,12,1,2022,1, ,2000,1, ,2,12,8,2,1,1,12,4300, 
98,1,35,1,1,1,3,3,1,2024,1, ,2000,1, ,1,4,26,17,1,1,13,5210, 
98,2,49,2,1,1,4,4,1,2023,1, ,1300,1, ,2,4,22,17,1,10,6,2700, 
98,1,53,1,2,5,10,10,1,2023,1, ,2000,3, ,2,2,19,2,1,1,14,8055, 
98,2,29,11,1,1,8,8,1,2024,1, ,2000,3, ,1,9,15,13,1,1,9,6500, 
4,2,35,15,2,4,8,3,1,2023,1, ,1500,1, ,3,10,22,7,1,99,99,3500, 
98,2,41,4, , , , ,1,2022,3, ,3000,1, ,3,8,20,12,1,1,9,7600, 
4,1,35,5,1,1,3,3,1,2021,1, ,2000,1, ,1,4,5,2,1,1,7,7072, 
98,1,38,8,2,4,4,3,1,2023,1, ,1500,1, ,1,6,18,17,1,2,3,3100, 
98,1,49,6,2,6,10,7,1,2021,1, ,3000,3, ,1,4,7,7,1,1,14,15000, 
5,2,51,1,97,1,10,10,1,2022,1, ,2000,3, ,1,9,21,13,1,13,8,6500, 
3,1,44,15, , , , ,1,2022,4,1,2500,1, ,2,8,27,20,1,2,7,6800, 
5,1,41,8,2,3,7,7,1,2023,1, ,2000,1, ,2,3,27,2,1,1,13,6630, 
4,1,42,1,2,2,9,5,1,2023,1, ,2000,1, ,1,9,22,25,1,1,14,6630, 
98,1,33,10,1,1,7,7,1,2023,1, ,1300,1, ,1,6,7,13,1,8,7,2750, 
98,2,38,8,2,3,8,2,1,2023,5, , , , ,1,99,3,17,2,8,7, ,99
98,1,65,1,2,6,3,2,1,2023,1, ,3000,3, ,1,10,18,1,1,13,8,20000, 
5,1,53,11, , , , ,1,2023,1, ,3600,2, ,1,12,27,28,1,8,6,4980, 
98,1,40,14,2,5,12,10,1,2023,3, ,2200,2,5,1,12,18,7,1,1,7,4800, 
98,1,35,8,2,2,5,3,1,2022,1, ,2000,1, ,2,1,7,30,1,99,7,4990, 
98,1,40,15,2,5,5,2,1,2022,3, ,2000,1, ,2,6,3,16,1,1,8,5217, 
5,1,54,8,2,3,10,10,1,2021,1, ,2200,1, ,1,3,9,26,1,9,8,5550, 
98,2,40,8,1,7,8,6,1,2022,1, ,2000,3, ,1,3,22,7,1,8,7,6000, 
98,1,35,2,2,5,6,3,1,2022,1, ,2000,1, ,2,6,11,28,1, , ,5000, 
98,2,32,1,1,1,99,99,1,2024,1, ,1500,1, ,3,11,5,17,1,1,7,4900, 
1,1,53,1,1,1,99,99,1,2022,3, ,2000,1, ,1,99,21,21,1,1,14, ,99
98,1,28,16,1,6,8,3,1,2024,5, , , , ,2,7,3,21,1,7,5,8260, 
98,1,42,8,2,4,5,3,1,2024,1, ,1000,1, ,1,4,18,18,2,1,7,1850, 
3,2,31,8,2,4,7,4,1,2023,1, ,1800,1, ,4, , , , , , , , 
98,1,46,15,2,3,5,3,1,2024,1, ,1300,1, ,2,12,10,7,1,99,2,3000, 
98,1,25,15,1,6,5,3,1,2024,5, , , , ,1,99,19,8,2,10,9,6120, 
98,1,45,8,2,5,10,7,1,2023,5, , , , ,2,6,22,17,2,1,14,7300, 
5,1,58,1,2,6,9,5,1,2023,4,1,2200,1, ,3,3,22,22,1,9,6,4700, 
3,1,64,4,2,7,3,3,1,2022,1, ,2000,1, ,2,3,20,2,1,1,6,6630, 
98,1,53,2,2,6,12,11,1,2023,3, ,2000,3, ,1,6,4,25,3,1,14,7072, 
98,1,33,8,1,1,4,4,1,2024,1, ,2000,1, ,1,4,8,2,1,1,2,6630, 
98,1,55,8,2,6,7,5,1,2023,5, , , , ,2,6,19,23,1,99,11,8260, 
98,2,41,1, , , , ,1,2022,1, ,2500,1, ,3,4,22,7,1,2,9,5700, 
98,2,50,6,2,5,8,2,1,2023,1, ,1300,1, ,1,5,10,7,1,8,99,2800, 
98,1,53,8,2,5,10,5,1,2023,5, , , , ,3,8,20,29,1,3,8,6780, 
98,1,54,8,2,6,10,7,1,2022,1, ,2000,1, ,3,8,8,17,1,1,14,6800, 
1,1,40,4,2,5,10,5,1,2022,5, , , , ,1,7,18,21,2,8,1,8260, 
98,1,27,8,1,6,11,3,1,2023,3, ,2000,1, ,2,6,27,22,1,1,8,3700, 
98,1,59,8,97,6,6,3,1,2023,2, ,2000, , ,1,7,18,28,1,99,99,3000, 
98,1,40,8,2,7,13,4,1,2024,1, ,1500,1, ,1,99,8,17,1,99,7,3300, 
98,1,27,8,1,1,3,3,1,2024,1, ,2000,3, ,2,3,1,2,1,1,14,5800, 
98,1,46,8,2,4,7,7,1,2021,4,1,2500,1, ,3,6,20,20,1,8,5,6400, 
98,1,60,8, , , , ,1,2022,1, ,2000,3, ,2,6,8,22,1,99,1,6640, 
5,1,26,8,2,4,3,3,1,2023,2, ,2000,1,5,2,7,20,10,1,9,3,3400, 
98,1,30,10,1,6,8,3,1,2024,5, , , , ,1,6,17,18,1,99,99,5200, 
98,1,45,9,2,4,10,10,1,2021,3, ,1600,1, ,1,5,8,20,1,97,5,5500, 
3,1,39,4,2,4,11,10,1,2023,5, , , , ,1,7,8,21,1,3,8,5990, 
98,1,57,2,2,6,8,8,1,2024,5, , , , ,2,6,8,20,2, , ,5499, 
98,1,64,3,2,6,99,99,1,2024,1, ,3500,2, ,2,12,8,16,1,99,2,6940, 
5,1,61,16,2,7,10,7,1,2022,4,1,2000,3, ,1,13,18,22,2,9,7,4980, 
98,1,55,8, , , , ,1,2023,1, ,2000,1, ,1,4,27,7,1,99,99,6090, 
98,1,40,1,2,5,10,10,1,2024,1, ,3000,3, ,1,12,5,8,1,1,99, ,99
98,1,43,8,2,4,8,6,1,2023,5, , , , ,1,6,7,8,2, , ,8800, 
3,2,54,9,2,6,7,3,1,2024,1, ,1300,1, ,2,6,9,25,1,9,6,2400, 
98,1,40,2,2,2,3,3,1,2023,5, , , , ,1,10,8,2,2, , ,5299, 
98,2,31,8,2,2,10,5,1,2024,1, ,1200,3, ,4, , , , , , , , 
98,1,40,8,2,3,4,4,1,2023,5, , , , ,3,9,20,1,1,1,8,7360, 
98,1,47,15,2,5,8,5,1,2023,1, ,3000,3, ,2,10,5,6,1,99,8,8700, 
98,1,56,1,2,5,10,10,1,2022,1, ,3000,3, ,2,10,22,22,1,99,8,17000, 
98,1,22,8,1,6,10,2,1,2023,1, ,1500,1, ,1,13,7,12,3,2,8,3330, 
98,1,51,1,2,5,11,7,1,2022,1, ,2000,1, ,1,7,8,25,1,4,7,6630, 
5,2,37,1, , , , ,1,2022,1, ,3500,1, ,2,9,3,9,1,99,3,5690, 
98,1,27,8,1,1,1,1,1,2023,1, ,1300,1, ,1,2,19,18,1,99,99, ,99
98,1,43,11,2,5,9,7,1,2022,1, ,2000,1, ,2,2,18,2,1,11,1,7610, 
5,1,42,1,2,3,9,4,1,2024,1, ,2000,1, ,1,98,7,26,1,11,5,6800, 
98,1,29,2,2,4,4,4,1,2023,1, ,1500,1, ,2,11,8,13,1,8,1, ,99
1,1,36,8,1,1,4,4,1,2023,1, ,1500,1, ,1,8,26,26,1,7,7,3400, 
98,1,57,4,2,6,11,10,1,2024,1, ,2000,1, ,1,9,4,1,1,1,8,5500, 
4,2,46,8,2,5,10,7,1,2022,1, ,1800,1, ,2,4,26,13,1,1,9, ,99
98,2,71,3,97,1,5,5,1,2024,4,1,1600,1, ,1,7,27,29,1,2,4,3200, 
98,1,29,11,2,2,8,4,1,2023,5, , , , ,2,3,3,17,2, , ,5299, 
98,1,47,1,2,5,10,10,1,2023,1, ,3000,3, ,2,4,7,23,1,1,9, ,99
4,2,31,3,2,4,10,6,1,2021,1, ,1400,1, ,2,2,2,2,3,11,5,3300, 
98,1,41,1,1,1,4,4,1,2022,1, ,2000,3, ,1,5,26,25,1,99,5,6300, 
98,1,38,6,1,1,3,3,1,2023,1, ,2000,3, ,1,4,5,2,1,8,8,7200, 
4,1,45,14,1,1,4,4,1,2023,1, ,1600,1, ,1,10,5,17,1,8,7,2860, 
98,1,32,1,2,4,10,6,1,2021,1, ,3000,3, ,1,7,5,16,1,99,3,13000, 
1,1,46,1,2,5,10,6,1,2022,5, , , , ,2,10,22,29,2, , ,7527, 
98,1,38,1,2,3,11,9,1,2022,5, , , , ,2,2,10,21,1,99,5,8250, 
98,1,32,2,1,6,11,8,1,2023,5, , , , ,1,6,3,1,2,1,6,5299, 
98,1,33,8, , , , ,1,2023,5, , , , ,2,3,19,14,1,1,14,5990, 
98,1,41,1,2,4,11,11,1,2023,1, ,3000,3, ,2,8,8,9,3,1,14,8600, 
98,1,30,1,1,1,8,8,1,2023,1, ,2000,3, ,1,3,27,7,1,8,1,6900, 
98,2,24,2,1,1,3,3,1,2023,1, ,1300,1, ,2,4,7,13,1,9,6,2955, 
4,1,53,8,2,6,5,5,1,2024,1, ,1300,1, ,3,6,22,20,1,8,2,2945, 
98,1,68,8,2,6,8,6,1,2023,4,1,2500,1, ,2,13,16,22,1,10,9,6390, 
98,1,35,1,1,1,8,8,1,2023,5, , , , ,2,3,8,2,1,7,9,6800, 
98,1,54,3,97,5,8,8,1,2023,4,1,2500,1, ,1,8,3,22,1,97,5,7150, 
3,1,42,2, , , , ,1,2021,3, ,2200,3, ,1,98,22,30,1,1,14,8030, 
3,1,41,1,2,5,7,7,1,2021,1, ,2000,1, ,2,10,27,13,1,1,13,6630, 
4,2,34,1,2,2,8,4,1,2022,1, ,2000,1, ,1,5,18,13,1,8,8,4000, 
98,2,40,14,2,3,13,4,1,2024,1, ,2000,3, ,2,3,22,13,1,1,14, ,99
98,2,48,8,2,6,10,5,1,2021,1, ,2300,1, ,4, , , , , , , , 
98,1,29,14,1,1,11,11,1,2023,1, ,2000,3, ,1,9,16,7,1,99,99,7200, 
98,1,59,8,2,6,11,6,1,2024,5, , , , ,3,3,7,17,1, , ,5590, 
1,1,49,10,2,6,12,5,1,2022,1, ,2000,1, ,2,12,9,13,1,99,6,7072, 
5,2,38,1,1,1,11,11,1,2023,1, ,3000,3, ,2,13,2,9,1,99,7,7900, 
2,1,39,4,2,2,4,4,1,2022,1, ,2000,1, ,2,4,8,25,1,11,12,5000, 
1,1,47,4,2,5,13,13,1,2024,5, , , , ,2,7,7,29,2, , ,5400, 
4,1,42,8,1,1,8,8,1,2024,1, ,3000,3, ,1,12,26,19,1,99,99,17000, 
98,2,47,8,1,7,7,6,1,2022,1, ,2000,3, ,1,6,21,28,1,1,99,7277, 
98,1,49,10,2,4,7,4,1,2023,4,2,2000,3, ,3,2,8,7,3,99,2,11523, 
3,1,56,8,2,6,9,9,1,2023,1, ,3000,3, ,2,10,27,24,1,8,13,6700, 
98,1,50,8,2,6,8,4,1,2023,5, , , , ,1,6,27,8,2,99,99,5299, 
5,1,46,17,2,4,10,10,1,2023,3, ,2000,1, ,1,7,8,25,1,1,5,3900, 
98,2,28,5,1,1,11,11,1,2023,5, , , , ,1,2,4,28,1,99,11,8110, 
98,1,62,4, , , , ,1,2023,5, , , , ,2,6,16,20,1,4,5,4793, 
98,2,48,8,2,3,5,98,1,2022,1, ,2000,3, ,2,99,1,7,1,8,7,9510, 
98,1,31,13,1,1,4,4,1,2022,5, , , , ,1,8,27,29,2, , ,6799, 
98,1,43,8,2,5,6,3,1,2022,1, ,2000,1, ,2,6,8,13,1,1,13,7072, 
3,1,61,1,2,7,8,8,1,2022,1, ,2000,3, ,1,12,7,25,3,8,8,7400, 
4,1,48,1,2,3,6,4,1,2021,3, ,2000,3, ,1,12,1,17,2,7,5,7348, 
98,2,45,1,2,5,6,98,1,2023,1, ,2000,1, ,3,3,22,17,1,1,14,6870, 
98,2,52,4,2,6,6,3,1,2022,1, ,2400,1, ,1,12,15,13,1,9,99,3700, 
98,1,69,8,2,7,4,4,1,2022,1, ,2000,1, ,1,3,27,7,1,9,3,5600, 
5,1,54,6,2,5,10,10,1,2024,1, ,2000,3, ,1,9,1,29,2,8,13,7300, 
98,1,42,1,1,1,7,7,1,2022,3, ,2000,3, ,1,6,21,10,1,13,7,8300, 
98,2,50,3,97,1,2,2,1,2024,1, ,1800,1, ,2,13,7,2,1,1,99,5700, 
98,2,60,1,97,1,99,99,1,2023,1, ,2000,3, ,1,6,18,13,1,1,9,7277, 
98,1,48,4,2,5,6,6,1,2023,3, ,2200,3, ,1,7,8,9,1,1,6,8030, 
98,1,47,14,2,5,8,4,1,2023,4,1,2500,1, ,2,13,7,9,1,1,9,6400, 
4,2,57,9,2,6,13,11,1,2024,1, ,2500,3, ,1,3,22,7,1,13,99,6420, 
98,2,42,3,2,5,10,5,1,2021,5, , , , ,3,4,20,21,1,99,1,6000, 
98,1,44,1,2,4,99,7,1,2023,1, ,3500,1,9,2,4,19,9,1,99,5, ,99
2,1,69,1,2,7,13,13,1,2022,1, ,2000,3, ,3,10,27,25,1,1,12,8700, 
98,1,54,8, , , , ,1,2023,4,1,2500,1, ,1,3,22,20,1,8,8,6700, 
2,1,55,5,2,6,10,8,1,2022,3, ,2200,3, ,1,9,1,25,1,13,99,10180, 
